Modelo,Accuracy,Precision,Recall,F1,AUC-ROC,Tiempo (s)
LightGBM,0.7131143239484663,0.2883504004866673,0.9132947976878613,0.43831394004777685,0.8574434625511785,9.18
XGBoost,0.7164466951798694,0.2901747546253548,0.9082637550845644,0.4398310136588653,0.8567999693850584,10.51
Random Forest,0.7110414316076723,0.28643114538780184,0.9104046242774566,0.4357627769950045,0.8561302939456936,63.59
Logistic Regression,0.6390543412663011,0.25054914881933005,0.9767715692571184,0.398802499890739,0.8336484841314473,41.79
